kind,term,n_mentions,n_projects,pct_projects
term,used,1403,769,49.13738019169329
term,use,1115,610,38.977635782747605
term,project,954,582,37.18849840255591
term,content,886,499,31.884984025559106
term,using,654,465,29.712460063897762
term,tools,776,446,28.498402555910545
term,images,654,431,27.53993610223642
term,created,530,404,25.814696485623003
term,generated,439,360,23.003194888178914
term,ai-generated,536,318,20.319488817891372
term,yes,281,273,17.44408945686901
term,create,286,257,16.421725239616613
term,final,363,253,16.166134185303516
term,generate,294,253,16.166134185303516
term,art,364,250,15.97444089456869
term,original,342,246,15.718849840255592
term,help,275,239,15.271565495207668
term,creative,301,232,14.824281150159745
term,design,308,229,14.63258785942492
term,work,293,226,14.440894568690096
term,visual,266,213,13.610223642172524
term,product,320,211,13.482428115015974
term,human,312,211,13.482428115015974
term,works,222,190,12.140575079872205
term,image,218,178,11.373801916932907
term,tool,204,175,11.182108626198083
term,campaign,217,171,10.926517571884984
term,models,254,165,10.543130990415335
term,process,236,164,10.47923322683706
term,artwork,232,162,10.351437699680512
term,copyrighted,190,158,10.095846645367413
term,concept,192,154,9.840255591054314
term,enhance,166,152,9.712460063897764
term,team,198,145,9.26517571884984
term,ensure,181,145,9.26517571884984
term,based,177,144,9.201277955271566
term,creation,171,141,9.00958466453674
term,visuals,182,140,8.945686900958467
term,materials,181,140,8.945686900958467
term,however,148,140,8.945686900958467
term,support,185,136,8.690095846645367
term,artists,171,136,8.690095846645367
term,development,165,135,8.626198083067093
term,data,266,133,8.498402555910543
term,text,180,132,8.434504792332268
term,technology,166,131,8.370607028753994
term,assets,173,130,8.30670926517572
term,without,142,129,8.242811501597444
tool,ChatGPT,188,127,8.115015974440894
term,consent,156,127,8.115015974440894
term,story,161,125,7.987220447284345
tool,MidJourney,167,123,7.859424920127796
term,licensed,136,120,7.667731629392971
term,page,136,120,7.667731629392971
term,commercial,138,119,7.603833865814696
term,book,172,115,7.348242811501597
term,rights,143,115,7.348242811501597
term,video,153,113,7.220447284345048
term,elements,135,113,7.220447284345048
term,written,135,110,7.0287539936102235
term,including,126,110,7.0287539936102235
term,user,210,109,6.964856230031949
term,like,156,109,6.964856230031949
term,generation,134,109,6.964856230031949
term,third-party,126,108,6.900958466453674
term,experience,141,106,6.773162939297125
term,ideas,128,105,6.7092651757188495
term,every,135,104,6.645367412140575
term,artist,117,104,6.645367412140575
term,kickstarter,121,103,6.5814696485623
term,ensuring,118,103,6.5814696485623
term,concepts,115,102,6.517571884984026
term,users,169,99,6.325878594249201
term,part,103,98,6.261980830670926
term,editing,169,97,6.198083067092652
term,make,113,97,6.198083067092652
tool,Photoshop AI,115,96,6.134185303514377
term,prompts,113,96,6.134185303514377
term,specific,108,96,6.134185303514377
term,intelligence,121,95,6.0702875399361025
term,entirely,103,95,6.0702875399361025
term,cover,125,94,6.006389776357827
term,illustrations,119,94,6.006389776357827
term,artificial,114,94,6.006389776357827
term,presentation,111,93,5.942492012779553
term,writing,106,93,5.942492012779553
term,uses,102,93,5.942492012779553
term,fully,94,90,5.7507987220447285
term,real,111,89,5.686900958466453
term,assist,100,89,5.686900958466453
term,terms,100,88,5.623003194888179
term,designs,118,86,5.49520766773163
term,assistance,97,86,5.49520766773163
term,available,94,86,5.49520766773163
term,marketing,109,85,5.431309904153355
term,way,94,85,5.431309904153355
term,time,101,84,5.36741214057508
term,promotional,102,83,5.303514376996805
term,material,97,83,5.303514376996805
term,made,94,83,5.303514376996805
term,production,98,82,5.23961661341853
term,designed,93,82,5.23961661341853
term,within,89,82,5.23961661341853
term,creating,86,82,5.23961661341853
term,character,106,81,5.175718849840256
term,background,91,81,5.175718849840256
term,provide,87,80,5.111821086261981
term,core,84,80,5.111821086261981
term,ai-assisted,98,79,5.047923322683706
term,purposes,84,79,5.047923322683706
term,generating,87,78,4.984025559105431
term,game,135,77,4.920127795527157
term,full,80,77,4.920127795527157
term,language,106,76,4.856230031948882
term,just,90,76,4.856230031948882
term,creators,83,75,4.792332268370607
term,funds,76,75,4.792332268370607
term,app,120,74,4.728434504792332
term,vision,88,74,4.728434504792332
term,platform,96,73,4.664536741214057
term,quality,89,73,4.664536741214057
term,software,88,73,4.664536741214057
term,usage,87,73,4.664536741214057
term,plan,80,73,4.664536741214057
term,digital,93,71,4.536741214057508
term,imagery,81,71,4.536741214057508
term,specifically,77,71,4.536741214057508
term,creativity,90,70,4.472843450479234
term,edited,77,70,4.472843450479234
term,style,80,69,4.4089456869009584
term,developed,71,69,4.4089456869009584
term,manually,72,67,4.281150159744409
term,model,88,66,4.217252396166134
term,unique,76,65,4.15335463258786
term,service,75,65,4.15335463258786
term,future,74,65,4.15335463258786
term,photos,74,65,4.15335463258786
term,artistic,81,64,4.0894568690095845
term,input,75,64,4.0894568690095845
term,initial,73,64,4.0894568690095845
term,professional,69,64,4.0894568690095845
term,copyright,75,62,3.961661341853035
term,reviewed,67,61,3.8977635782747604
term,direction,68,60,3.8338658146964857
term,permission,64,60,3.8338658146964857
term,videos,77,59,3.769968051118211
term,outputs,71,59,3.769968051118211
term,refine,64,59,3.769968051118211
term,voice,78,58,3.7060702875399363
term,source,69,58,3.7060702875399363
term,done,68,58,3.7060702875399363
term,new,66,58,3.7060702875399363
term,one,59,58,3.7060702875399363
term,characters,81,57,3.642172523961661
term,creator,76,57,3.642172523961661
term,provided,65,57,3.642172523961661
term,utilize,60,57,3.642172523961661
term,grammar,59,57,3.642172523961661
term,raising,57,57,3.642172523961661
term,paid,67,56,3.5782747603833864
term,solely,62,56,3.5782747603833864
term,helps,61,55,3.5143769968051117
term,allows,60,55,3.5143769968051117
term,directly,59,55,3.5143769968051117
term,replace,59,55,3.5143769968051117
term,hand,57,55,3.5143769968051117
tool,OpenAI,86,54,3.450479233226837
term,personalized,85,54,3.450479233226837
term,information,70,54,3.450479233226837
term,training,70,54,3.450479233226837
term,features,69,54,3.450479233226837
term,refined,60,54,3.450479233226837
term,datasets,62,52,3.3226837060702876
term,life,57,52,3.3226837060702876
term,produced,56,52,3.3226837060702876
term,limited,54,52,3.3226837060702876
term,ethical,78,51,3.258785942492013
term,different,62,51,3.258785942492013
term,publicly,61,51,3.258785942492013
term,never,56,51,3.258785942492013
term,improve,55,51,3.258785942492013
term,compliance,63,50,3.194888178913738
term,ensures,54,50,3.194888178913738
term,trained,54,50,3.194888178913738
term,built,51,50,3.194888178913738
term,files,71,49,3.130990415335463
term,proprietary,56,49,3.130990415335463
term,platforms,54,49,3.130990415335463
term,licensing,51,49,3.130990415335463
term,system,58,48,3.0670926517571884
term,approach,56,48,3.0670926517571884
term,humans,50,48,3.0670926517571884
term,incorporate,50,48,3.0670926517571884
term,well,50,48,3.0670926517571884
term,include,49,48,3.0670926517571884
term,learning,69,47,3.0031948881789137
term,copy,55,47,3.0031948881789137
term,inspiration,51,47,3.0031948881789137
term,result,47,47,3.0031948881789137
term,graphics,58,46,2.939297124600639
term,details,57,46,2.939297124600639
term,music,57,46,2.939297124600639
term,decisions,55,46,2.939297124600639
term,making,51,46,2.939297124600639
term,existing,48,46,2.939297124600639
term,early,46,46,2.939297124600639
term,either,56,45,2.8753993610223643
term,physical,55,45,2.8753993610223643
term,research,53,45,2.8753993610223643
term,role,49,45,2.8753993610223643
term,produce,48,45,2.8753993610223643
term,rely,46,45,2.8753993610223643
term,products,67,44,2.8115015974440896
term,everything,58,44,2.8115015974440896
term,world,54,44,2.8115015974440896
term,backers,50,44,2.8115015974440896
term,sources,49,44,2.8115015974440896
term,personal,47,44,2.8115015974440896
term,explore,46,44,2.8115015974440896
term,illustration,55,43,2.747603833865815
term,clarity,47,43,2.747603833865815
term,helping,45,43,2.747603833865815
term,references,45,43,2.747603833865815
term,control,44,43,2.747603833865815
term,legal,63,42,2.68370607028754
term,need,56,42,2.68370607028754
term,intellectual,49,42,2.68370607028754
term,property,49,42,2.68370607028754
term,people,47,42,2.68370607028754
term,maintain,44,42,2.68370607028754
term,supporting,43,42,2.68370607028754
term,stl,54,41,2.619808306709265
term,bring,46,41,2.619808306709265
term,look,46,41,2.619808306709265
term,see,46,41,2.619808306709265
term,want,68,40,2.5559105431309903
term,reference,45,40,2.5559105431309903
term,artworks,44,40,2.5559105431309903
term,standards,43,40,2.5559105431309903
term,actual,42,40,2.5559105431309903
term,refining,42,40,2.5559105431309903
term,develop,41,40,2.5559105431309903
term,tasks,41,40,2.5559105431309903
term,additionally,40,40,2.5559105431309903
term,ai-powered,48,39,2.4920127795527156
term,public,47,39,2.4920127795527156
term,mockups,44,39,2.4920127795527156
term,committed,42,39,2.4920127795527156
term,enhanced,41,39,2.4920127795527156
term,remains,41,39,2.4920127795527156
term,involved,40,39,2.4920127795527156
term,license,39,39,2.4920127795527156
term,descriptions,54,38,2.428115015974441
term,algorithms,52,38,2.428115015974441
term,assistant,48,38,2.428115015974441
term,licenses,44,38,2.428115015974441
term,best,41,38,2.428115015974441
term,legally,40,38,2.428115015974441
term,business,39,38,2.428115015974441
term,free,39,38,2.428115015974441
term,includes,39,38,2.428115015974441
term,phase,38,38,2.428115015974441
term,strictly,38,38,2.428115015974441
term,always,51,37,2.364217252396166
term,goal,45,37,2.364217252396166
term,english,44,37,2.364217252396166
term,certain,42,37,2.364217252396166
term,first,43,36,2.3003194888178915
term,structure,42,36,2.3003194888178915
term,train,42,36,2.3003194888178915
term,storytelling,41,36,2.3003194888178915
term,technical,41,36,2.3003194888178915
term,idea,39,36,2.3003194888178915
term,better,38,36,2.3003194888178915
term,commercially,38,36,2.3003194888178915
term,backgrounds,37,36,2.3003194888178915
term,rewards,45,35,2.236421725239617
term,projects,42,35,2.236421725239617
term,key,39,35,2.236421725239617
term,feature,38,35,2.236421725239617
term,prompt,37,35,2.236421725239617
term,visually,36,35,2.236421725239617
term,insights,53,34,2.1725239616613417
term,since,46,34,2.1725239616613417
term,transparency,44,34,2.1725239616613417
term,privacy,40,34,2.1725239616613417
term,edit,34,34,2.1725239616613417
term,maps,83,33,2.108626198083067
term,suggestions,41,33,2.108626198083067
term,included,38,33,2.108626198083067
term,building,37,33,2.108626198083067
term,sketches,36,33,2.108626198083067
term,creations,35,33,2.108626198083067
term,get,35,33,2.108626198083067
term,obtained,35,33,2.108626198083067
term,ethically,33,33,2.108626198083067
term,example,37,32,2.0447284345047922
term,graphic,37,32,2.0447284345047922
term,necessary,35,32,2.0447284345047922
term,required,34,32,2.0447284345047922
term,tone,34,32,2.0447284345047922
term,traditional,34,32,2.0447284345047922
term,owned,33,32,2.0447284345047922
term,card,54,31,1.9808306709265175
term,film,48,31,1.9808306709265175
term,gameplay,44,31,1.9808306709265175
term,recommendations,39,31,1.9808306709265175
tool,Adobe Firefly,38,31,1.9808306709265175
term,pictures,38,31,1.9808306709265175
term,analyze,36,31,1.9808306709265175
term,base,36,31,1.9808306709265175
term,texts,35,31,1.9808306709265175
term,narrative,34,31,1.9808306709265175
term,refinement,34,31,1.9808306709265175
term,two,34,31,1.9808306709265175
term,find,33,31,1.9808306709265175
term,focus,33,31,1.9808306709265175
term,accordance,32,31,1.9808306709265175
term,advanced,32,31,1.9808306709265175
term,carefully,31,31,1.9808306709265175
term,following,31,31,1.9808306709265175
term,many,31,31,1.9808306709265175
term,properly,31,31,1.9808306709265175
term,shown,31,31,1.9808306709265175
term,extensive,39,30,1.9169329073482428
term,processing,38,30,1.9169329073482428
tool,Canva,37,30,1.9169329073482428
term,covers,37,30,1.9169329073482428
term,needs,37,30,1.9169329073482428
term,incorporating,36,30,1.9169329073482428
term,output,35,30,1.9169329073482428
term,machine,31,30,1.9169329073482428
term,others,31,30,1.9169329073482428
term,manual,30,30,1.9169329073482428
term,application,46,29,1.8530351437699681
term,effects,45,29,1.8530351437699681
term,else,38,29,1.8530351437699681
term,real-time,36,29,1.8530351437699681
term,offer,35,29,1.8530351437699681
term,figures,34,29,1.8530351437699681
term,questions,34,29,1.8530351437699681
term,capabilities,32,29,1.8530351437699681
term,custom,31,29,1.8530351437699681
term,involve,31,29,1.8530351437699681
term,write,31,29,1.8530351437699681
term,important,30,29,1.8530351437699681
term,originality,30,29,1.8530351437699681
term,understand,30,29,1.8530351437699681
term,analysis,40,28,1.7891373801916932
term,systems,39,28,1.7891373801916932
term,services,37,28,1.7891373801916932
term,via,37,28,1.7891373801916932
term,note,34,28,1.7891373801916932
term,utilized,34,28,1.7891373801916932
term,branding,33,28,1.7891373801916932
term,guidelines,33,28,1.7891373801916932
term,external,32,28,1.7891373801916932
term,open,32,28,1.7891373801916932
term,visualize,32,28,1.7891373801916932
term,audio,31,28,1.7891373801916932
term,modeling,31,28,1.7891373801916932
term,parts,31,28,1.7891373801916932
term,photography,31,28,1.7891373801916932
term,clearly,30,28,1.7891373801916932
term,explicit,30,28,1.7891373801916932
term,proper,30,28,1.7891373801916932
term,current,29,28,1.7891373801916932
term,enhancing,29,28,1.7891373801916932
term,instead,29,28,1.7891373801916932
term,replicate,29,28,1.7891373801916932
term,incorporated,28,28,1.7891373801916932
term,integrated,28,28,1.7891373801916932
term,cards,47,27,1.7252396166134185
term,deck,44,27,1.7252396166134185
term,tailored,32,27,1.7252396166134185
term,possible,31,27,1.7252396166134185
term,resources,31,27,1.7252396166134185
term,stock,31,27,1.7252396166134185
term,achieve,30,27,1.7252396166134185
term,authorization,29,27,1.7252396166134185
term,check,29,27,1.7252396166134185
term,transparent,29,27,1.7252396166134185
term,captivating,28,27,1.7252396166134185
term,creators',28,27,1.7252396166134185
term,currently,28,27,1.7252396166134185
