comparison,label,n,n_a,n_b,agreement,kappa
dictionary_vs_auto,images,157,101,89,0.8598726114649682,0.7085723928450895
dictionary_vs_auto,text,157,54,40,0.7070063694267515,0.3081050009580377
dictionary_vs_auto,language_translation,157,12,3,0.9426751592356688,0.3810775295663594
dictionary_vs_auto,audio_video,157,34,24,0.8980891719745223,0.6639015252876639
dictionary_vs_auto,functional_product,157,29,31,0.8343949044585988,0.46444502755182354
dictionary_vs_auto,unclassified,157,18,13,0.8535031847133758,0.17913162082291478
dictionary_vs_human,images,157,101,90,0.8535031847133758,0.6941644786990769
dictionary_vs_human,text,157,54,54,0.732484076433121,0.4072276159654799
dictionary_vs_human,language_translation,157,12,5,0.9554140127388535,0.5688505296194585
dictionary_vs_human,audio_video,157,34,27,0.9044585987261147,0.6957757395685311
dictionary_vs_human,functional_product,157,29,29,0.8471337579617835,0.4924568965517242
dictionary_vs_human,unclassified,157,18,12,0.8471337579617835,0.1192145862552597
auto_vs_human,images,157,89,90,0.9681528662420382,0.9350326905569809
auto_vs_human,text,157,40,54,0.8726114649681529,0.69917608737306
auto_vs_human,language_translation,157,3,5,0.9872611464968153,0.743882544861338
auto_vs_human,audio_video,157,24,27,0.9681528662420382,0.8830278646997467
auto_vs_human,functional_product,157,31,29,0.9745222929936306,0.9176069273156652
auto_vs_human,unclassified,157,13,12,0.9681528662420382,0.7827290340437311
