launch_quarter,n,ai_n,rate,ci_lo,ci_hi
2026Q1,1454,321,0.22077028885832187,0.200202360826496,0.24280977531082115
2025Q4,1386,254,0.18326118326118326,0.16377820821746053,0.20449506178280263
2025Q3,1346,189,0.14041604754829123,0.12287756673949003,0.16000117900268598
2025Q2,1305,166,0.12720306513409962,0.11021273498444825,0.14638171849858692
2025Q1,1239,130,0.10492332526230831,0.08906323055958383,0.12322567962246615
2024Q3,1131,94,0.08311229000884174,0.06840063760973845,0.10064628725459489
2024Q2,1103,98,0.08884859474161379,0.07345292368632221,0.10709819068474279
2024Q4,1032,119,0.11531007751937984,0.09723397230733002,0.13623945817054706
2024Q1,973,80,0.08221993833504625,0.0665583263402253,0.10116741599261411
2023Q4,580,41,0.0706896551724138,0.05253312951631081,0.09449558440137468
2026Q2,249,64,0.2570281124497992,0.20672904392532904,0.31471019881790346
2023Q3,225,9,0.04,0.021184481985397376,0.07425914494689989
